2026-06-03 15:56:38,395 | INFO | step=-1 | Run dir: .\logs\rsl_rl\boxlift\2026-06-02_22-26-01\, action_scale: 0.05, action_mode: A, use_ref: False, obs_history_steps: 3, include_object_obs: False, future_obs_steps: (1, 2, 3, 4, 5), include_prev_actions: False, include_absolute_obs: False, enable_phase_slowdown: False, dphase_min: 0.5, eff_alpha: 1.000 (force_alpha=-1.0, action_alpha_floor=1.0), trajectory: reference_trajectories/box_lift_ur5e/traj_full_refined_20260527_171906_cubic.npz
2026-06-03 15:56:38,395 | INFO | step=-1 | Loading model
2026-06-03 15:56:38,607 | INFO | step=-1 | Loading reference trajectory file
2026-06-03 15:56:38,623 | INFO | step=-1 | Trajectory loaded (dual arm). Total frames: 1461
2026-06-03 15:56:38,623 | INFO | step=-1 | Launching pose estimation subprocess: C:\Users\ArniB\ETH\Thesis\BoxLift\tag_pose_estimation\scripts\run_pose_estimation.py --config config/pose_estimation_configs/bigbox_pose_estimation_config.json (cwd=C:\Users\ArniB\ETH\Thesis\BoxLift\tag_pose_estimation)
2026-06-03 15:56:38,648 | INFO | step=-1 | Connecting to left arm at 192.168.1.33
2026-06-03 15:56:38,798 | INFO | step=-1 | Left arm connected
2026-06-03 15:56:38,798 | INFO | step=-1 | Connecting to right arm at 192.168.1.66
2026-06-03 15:56:38,942 | INFO | step=-1 | Right arm connected
2026-06-03 15:56:38,942 | INFO | step=-1 | Connection established
2026-06-03 15:56:38,942 | INFO | step=-1 | Resetting robot state
2026-06-03 15:56:39,229 | INFO | step=-1 | [left] moveJ to initial position [ 3.14159265 -1.57079633  0.          0.          0.          0.        ]
2026-06-03 15:56:39,229 | INFO | step=-1 | [right] moveJ to initial position [ 3.14159265 -1.57079633  0.          0.          0.          0.        ]
2026-06-03 15:56:44,442 | INFO | step=-1 | moveJ finished to initial positions
2026-06-03 15:56:44,473 | INFO | step=-1 | Waiting up to 5s for first box pose...
2026-06-03 15:56:44,474 | INFO | step=-1 | First box pose received: [-0.04250968  0.07089347  0.13593366  0.99939095 -0.0166039  -0.01298125
  0.02781218]
2026-06-03 15:56:55,483 | INFO | step=-1 | Stopping servo
2026-06-03 15:56:55,603 | INFO | step=-1 | Execution finished. Log written to .\logs\rsl_rl\boxlift\2026-06-02_22-26-01\ur_rtde_logs\2026-06-03_15-56-38_gain100.0_la0.15_real_as0.05.log
2026-06-03 15:56:55,668 | INFO | step=-1 | Tracking data saved to .\logs\rsl_rl\boxlift\2026-06-02_22-26-01\ur_rtde_logs\2026-06-03_15-56-38_gain100.0_la0.15_real_as0.05.npz (5451 ctrl steps, 547 policy steps)
