arm_idx,step,actual_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.0006006399737756851, -1.5684932282059272, -0.004667308647185564, -0.002177433376647997, -0.000970188771383107, 0.004240144044160843]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006082693683069351, -1.5685467284968873, -0.004659372381865978, -0.0022263091853638173, -0.0010646025287073257, 0.004286519251763821]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006006399737756851, -1.568497793549188, -0.004667308647185564, -0.002173141842224169, -0.001008335744039357, 0.0042459070682525635]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006464163409631851, -1.5685227848919858, -0.004641293548047543, -0.0022382301143188954, -0.001035038624898732, 0.004220548551529646]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.000649754201070607, -1.5685095833944906, -0.004680938087403774, -0.0022131961635132313, -0.0010646025287073257, 0.004229498095810413]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006778875934045914, -1.568505175444745, -0.00468089897185564, -0.002184943561889696, -0.001019779835836232, 0.004202497191727161]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.000695530568258107, -1.568562062955909, -0.0046463110484182835, -0.002190546398498583, -0.0010035673724573257, 0.004058688413351774]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006249586688440445, -1.568582813754194, -0.004456482827663422, -0.0021247428706665517, -0.0009911696063440445, 0.004058901220560074]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006049315081995132, -1.568621990536787, -0.004280744586139917, -0.0021423858455200673, -0.0009883085833948257, 0.0038232856895774603]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006058851825159195, -1.5688316570925345, -0.00400631595402956, -0.001991586094238329, -0.0009158293353479507, 0.0035684823524206877]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006058851825159195, -1.568923213668615, -0.0037752105854451656, -0.001862482433654833, -0.000871006642476857, 0.0034366368781775236]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0005252997027795914, -1.5690911128516127, -0.0035449638962745667, -0.0016734165004272938, -0.0008109251605432632, 0.0032460452057421207]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0004728476153772476, -1.5692875626594578, -0.0032627859618514776, -0.0015863937190552235, -0.0007346312152307632, 0.0030212760902941227]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00044137636293584137, -1.569490286088996, -0.0029056700877845287, -0.0014094871333618642, -0.0006783644305627945, 0.002652424154803157]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00036508241762334137, -1.5697357504726206, -0.0024624671787023544, -0.001173571949340868, -0.0004957357989709976, 0.0023241573944687843]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00028115907777959137, -1.5699221046273415, -0.0020571115892380476, -0.0009580415538330556, -0.00045854250063115387, 0.0019297957187518477]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0002816359149377945, -1.5701426850030948, -0.001536030089482665, -0.0008078378489990712, -0.00034982362856084137, 0.0015081992605701089]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00018483797182256012, -1.5703434252103143, -0.0011604088358581066, -0.0005453389934082509, -0.0003030935870569351, 0.001141097629442811]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00012380281557256012, -1.5705276402917043, -0.0008184089092537761, -0.00041897714648442275, -0.00022489229311162262, 0.0007978945504873991]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00019056001772099762, -1.5706466175800706, -0.0005181009764783084, -0.0003079932979126454, -0.00024301210512334137, 0.0004979437799192965]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00013333955873662262, -1.5707678326510468, -0.00025847231154330075, -0.00014634550128178603, -0.00016957918276006012, 0.0003075241984333843]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-7.7549611226857e-05, -1.570789174442627, -1.3589502486865968e-05, -7.493913684086806e-05, -8.422533144170075e-05, 5.5754186178091913e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-7.278123964482575e-05, -1.5707698190274932, -7.486343383789062e-05, -0.00011630476031498915, -0.00011808076967412262, 5.41026602149941e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0001137892352502945, -1.5708004436888636, -0.00010537278285482898, -8.376062426762587e-05, -7.230440248662262e-05, 9.918212890625e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-7.278123964482575e-05, -1.5706618241859651, -5.8448313211556524e-05, -9.5681553222704e-05, -6.133714784795075e-05, 8.726119995117188e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00012666383852177887, -1.5706988734057923, -9.412122017238289e-05, -4.620969805912978e-05, -6.133714784795075e-05, 9.63153870543465e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-6.372133363896637e-05, -1.570718465878901, -0.00010537278285482898, -2.6778583862352434e-05, -6.276765932256012e-05, 8.406639244640246e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00013524690736943512, -1.5707032418252602, -7.486343383789062e-05, -5.491197619633681e-05, -2.080598940068512e-05, 4.67777244921308e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-3.5587941304981996e-05, -1.5706901155757187, -6.124603532953188e-05, -2.2248630859422747e-05, -1.7468129293263246e-05, 1.7223364920937456e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-5.5615101949513246e-05, -1.5707600637000105, -0.00011567798355827108, -2.057970080571181e-05, 1.1042507139791269e-05, 5.125999450683594e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-2.748170961552887e-05, -1.5707021730234665, -9.180033521261066e-05, 4.573459289503035e-06, -4.1309987203419496e-05, 1.7223364920937456e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-4.083315004521637e-05, -1.5706857525186315, -0.00011110305786132812, -4.001081500248915e-05, 1.5435218301718123e-05, -3.4634266988575746e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.699129213506012e-05, -1.5706618416337115, -7.032429857645184e-05, -3.0559352417469654e-06, -4.1309987203419496e-05, 2.7179718017578125e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-5.3707753316700746e-05, -1.5707337743118224, -0.00014118051331024617, -7.34746966557509e-06, 1.5435218301718123e-05, -5.547200338185121e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[1.1368392733857036e-05, -1.5706890143668097, -4.0282691770698875e-05, -5.312383685307509e-05, -3.0819569722950746e-05, -5.547200338185121e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-9.361897603810121e-06, -1.5706901889464753, -0.00014119880506768823, -4.8713093139696184e-05, 1.1024474588339217e-05, 3.61442580469884e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-3.415742983037262e-05, -1.5707271942631742, -7.03333062119782e-05, 2.9607410095167097e-05, 3.4689903259277344e-05, -2.9865895406544496e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[2.631351662785164e-06, -1.5707110535771172, -8.726119995117188e-05, -1.1758213378953997e-05, 2.384185791015625e-06, 1.696395884209778e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-4.941621889287262e-05, -1.5707721868805784, -0.0001053727901307866, 1.6271557612412835e-07, 4.808975791092962e-05, -2.2236500875294496e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[3.097832086496055e-05, -1.5707677965404692, -5.6706907344050705e-05, 1.649438824458116e-05, -1.3176594869435121e-05, -8.885060445606996e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.2699757711231996e-05, -1.5707109220569073, -0.00010768754873424768, -4.001081500248915e-05, -1.0792409078419496e-05, 1.9741059077205136e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[2.6226043701171875e-06, -1.5707590368441124, -7.936663314467296e-05, 2.4481410644483503e-05, 1.5477617125725374e-05, -2.080598940068512e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[7.005214229138801e-06, -1.5707097291200007, -5.8448313211556524e-05, 4.573459289503035e-06, 6.000227585900575e-05, -3.4634266988575746e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.732503072560121e-06, -1.5707096414374355, -6.751441833330318e-05, -1.1758213378953997e-05, 3.474677578196861e-05, 7.90977446740726e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-5.0846730367481996e-05, -1.5707842401373746, -2.3868149582995102e-05, -1.1758213378953997e-05, 4.666742461267859e-05, 1.2481688827392645e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[2.6226043701171875e-06, -1.5707622927478333, -3.004646350746043e-05, 1.3394946716260847e-05, -1.5083943502247621e-05, 7.90977446740726e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[3.97241092287004e-05, -1.570745834000565, -6.29425048828125e-05, 4.573459289503035e-06, 5.550388596020639e-05, 6.18646117800381e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.699129213506012e-05, -1.570803781548971, -8.389954746235162e-05, 2.901136364741319e-05, -3.892580141240387e-05, -2.080598940068512e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-2.9865895406544496e-05, -1.570705299386038, -4.5017113734502345e-06, 7.553691528272566e-06, 1.984596201509703e-05, 1.9741059077205136e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[3.337860107421875e-06, -1.5707293871713155, -4.6425342588918284e-05, -3.560007128911025e-05, 2.276897430419922e-05, 2.1446227037813514e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[3.337860107421875e-06, -1.5708157024779261, -5.553395749302581e-05, -1.1758213378953997e-05, 3.917830326827243e-05, -4.116688863575746e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[1.892091859190259e-05, -1.5707622544581064, -4.363977859611623e-05, 1.3275737426710066e-05, 2.026558377110632e-06, -2.9865895406544496e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.699129213506012e-05, -1.5707697950659458, -6.455809489125386e-05, -1.6168957092332903e-05, -4.3217335836231996e-05, 7.909773557912558e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.794496645146637e-05, -1.5707741669214847, -1.360747864964651e-05, -7.34746966557509e-06, -6.024037496388246e-06, -3.892580141240387e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[3.966195436078124e-05, -1.570745834000565, -8.105409506242722e-05, 3.7832851074171e-05, 6.440350989578292e-05, 7.903921869001351e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[2.760457937256433e-05, -1.570766643886902, -2.2640586394118145e-05, -1.6168957092332903e-05, -5.6568776265919496e-05, 2.431297252769582e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[7.017253210506169e-06, -1.570720686159195, -1.3083035810268484e-06, -5.312383685307509e-05, -2.652803529912262e-05, -4.116688863575746e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[1.1394814464438241e-05, -1.5707491043870796, -3.461542655713856e-05, 1.2083644531202253e-05, 1.1042082405765541e-05, 1.9741059077205136e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-3.7495289937794496e-05, -1.5707294231727538, -7.362735050264746e-05, -1.6168957092332903e-05, -3.892580141240387e-05, -1.3653432027638246e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[1.1361839824530762e-05, -1.570775457267093, -1.8188338799518533e-05, -5.193174395756728e-05, 1.1036872820113786e-05, 2.8884887797175907e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-7.516542543584137e-05, -1.5707741614827064, 1.732503072560121e-06, 2.4481410644483503e-05, 2.7380148821976036e-05, -4.116688863575746e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,1,"[3.814697265625e-06, -1.570799013177389, -6.908821524120867e-05, -8.777981140184465e-06, -6.024037496388246e-06, 2.8884887797175907e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,2,"[3.814697265625e-06, -1.570799013177389, -6.908821524120867e-05, -8.777981140184465e-06, -6.024037496388246e-06, 2.8884887797175907e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,3,"[3.814697265625e-06, -1.570799013177389, -6.908821524120867e-05, -8.777981140184465e-06, -6.024037496388246e-06, 2.8884887797175907e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,4,"[3.814697265625e-06, -1.570799013177389, -6.908821524120867e-05, -8.777981140184465e-06, -6.024037496388246e-06, 2.8884887797175907e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,5,"[3.814697265625e-06, -1.570799013177389, -6.908821524120867e-05, -8.777981140184465e-06, -6.024037496388246e-06, 2.8884887797175907e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
