arm_idx,step,actual_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.00641042390932256, -1.5771104298033656, -0.006336598191410303, -0.0063716930202026845, -0.006357494984762013, -0.006328884755269826]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.004570786152974904, -1.5752459965147914, -0.004490773659199476, -0.004499987964965868, -0.004479233418599904, -0.004485909138814748]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0037997404681604507, -1.574413915673727, -0.0037284470163285732, -0.0037220281413574696, -0.003670994435445607, -0.003628555928365529]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.002835575734273732, -1.5736199818053187, -0.002812442369759083, -0.0026824039271851063, -0.0026348272906702164, -0.0026286284076135757]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0020130316363733414, -1.572709699670309, -0.0019156145863234997, -0.0018887084773560048, -0.0018103758441370132, -0.0017936865435999039]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.001233402882711232, -1.5719315014281214, -0.0011601566802710295, -0.0010872644237061024, -0.0010784308062952164, -0.0010760466205042007]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0008161703692834976, -1.5714904270567835, -0.0006437991396524012, -0.0006249707988281727, -0.0005686918841760757, -0.0005515257464807632]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00038987794984990387, -1.5711714229979457, -0.000313906668452546, -0.0003112119487305165, -0.0002206007586877945, -0.0002282301532190445]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00019246736635381012, -1.5708891354002894, -0.00012024439638480544, -7.183969531254775e-05, -4.941621889287262e-05, -6.086031068974762e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00012427965273076325, -1.570874353448385, -3.910064697265625e-05, -6.814420733647353e-05, 7.152557373046875e-06, 3.3201079077116447e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
