arm_idx,step,actual_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.12299369835792981, -1.4478026284369658, 0.12299369835792981, 0.12299369835792981, 0.12299369835792981, 0.12299369835792981]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.1226156983579298, -1.4481806284369654, 0.1226156983579298, 0.1226156983579298, 0.1226156983579298, 0.1226156983579298]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.12173569835792981, -1.4490606284369658, 0.12173569835792981, 0.12173569835792981, 0.12173569835792981, 0.12173569835792981]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.12060169835792982, -1.4501946284369662, 0.12060169835792982, 0.12060169835792982, 0.12060169835792982, 0.12060169835792982]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.11932169835792983, -1.4514746284369657, 0.11932169835792983, 0.11932169835792983, 0.11932169835792983, 0.11932169835792983]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.11799169835792983, -1.452804628436966, 0.11799169835792983, 0.11799169835792983, 0.11799169835792983, 0.11799169835792983]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.11623169835792985, -1.454564628436966, 0.11623169835792985, 0.11623169835792985, 0.11623169835792985, 0.11623169835792985]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.11448169835792986, -1.4563146284369655, 0.11448169835792986, 0.11448169835792986, 0.11448169835792986, 0.11448169835792986]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.11253569835792987, -1.4582606284369657, 0.11253569835792987, 0.11253569835792987, 0.11253569835792987, 0.11253569835792987]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.11102569835792987, -1.4597706284369654, 0.11102569835792987, 0.11102569835792987, 0.11102569835792987, 0.11102569835792987]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.1084016983579299, -1.4623946284369662, 0.1084016983579299, 0.1084016983579299, 0.1084016983579299, 0.1084016983579299]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.1058956983579299, -1.4649006284369657, 0.1058956983579299, 0.1058956983579299, 0.1058956983579299, 0.1058956983579299]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.10319369835792992, -1.4676026284369659, 0.10319369835792992, 0.10319369835792992, 0.10319369835792992, 0.10319369835792992]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.09986569835792994, -1.4709306284369656, 0.09986569835792994, 0.09986569835792994, 0.09986569835792994, 0.09986569835792994]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.09674369835792995, -1.474052628436966, 0.09674369835792995, 0.09674369835792995, 0.09674369835792995, 0.09674369835792995]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.09342569835792998, -1.477370628436966, 0.09342569835792998, 0.09342569835792998, 0.09342569835792998, 0.09342569835792998]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08834569835793, -1.4824506284369656, 0.08834569835793, 0.08834569835793, 0.08834569835793, 0.08834569835793]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08399369835793002, -1.4868026284369655, 0.08399369835793002, 0.08399369835793002, 0.08399369835793002, 0.08399369835793002]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07997569835793006, -1.4908206284369658, 0.07997569835793006, 0.07997569835793006, 0.07997569835793006, 0.07997569835793006]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07698569835793007, -1.4938106284369663, 0.07698569835793007, 0.07698569835793007, 0.07698569835793007, 0.07698569835793007]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07326604044029067, -1.4975302863546052, 0.07326604044029067, 0.07326604044029067, 0.07326604044029067, 0.07326604044029067]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06811679304870906, -1.5026795337461873, 0.06811679304870906, 0.06811679304870906, 0.06811679304870906, 0.06811679304870906]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06284176161039481, -1.5079545651845017, 0.06284176161039481, 0.06284176161039481, 0.06284176161039481, 0.06284176161039481]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.058203426876034484, -1.5125928999188618, 0.058203426876034484, 0.058203426876034484, 0.058203426876034484, 0.058203426876034484]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.05296855035009651, -1.5178277764447996, 0.05296855035009651, 0.05296855035009651, 0.05296855035009651, 0.05296855035009651]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.04852285099111138, -1.522273475803785, 0.04852285099111138, 0.04852285099111138, 0.04852285099111138, 0.04852285099111138]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.044262545786656074, -1.52653378100824, 0.044262545786656074, 0.044262545786656074, 0.044262545786656074, 0.044262545786656074]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.03963362555299285, -1.5311627012419038, 0.03963362555299285, 0.03963362555299285, 0.03963362555299285, 0.03963362555299285]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.035793320348537536, -1.5350030064463587, 0.035793320348537536, 0.035793320348537536, 0.035793320348537536, 0.035793320348537536]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.031644400114874335, -1.539151926680022, 0.031644400114874335, 0.031644400114874335, 0.031644400114874335, 0.031644400114874335]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02681824982279532, -1.5439780769721008, 0.02681824982279532, 0.02681824982279532, 0.02681824982279532, 0.02681824982279532]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02281671455992422, -1.5479796122349718, 0.02281671455992422, 0.02281671455992422, 0.02281671455992422, 0.02281671455992422]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.019531794326260996, -1.5512645324686352, 0.019531794326260996, 0.019531794326260996, 0.019531794326260996, 0.019531794326260996]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.016867489121805676, -1.5539288376730909, 0.016867489121805676, 0.016867489121805676, 0.016867489121805676, 0.016867489121805676]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.01473979894655826, -1.5560565278483383, 0.01473979894655826, 0.01473979894655826, 0.01473979894655826, 0.01473979894655826]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
