arm_idx,step,actual_q,actual_qd,target_q,expected_q,applied_torque,loop_time,robot_mode,safety_mode
0,-1,"[-0.009531799946920216, -1.5803891621031703, -0.009510906413197517, -0.009643272762634325, -0.009577576314107716, -0.009588066731588185]","[0.03553134202957153, 0.03378305211663246, 0.035362087190151215, 0.0351908877491951, 0.033166054636240005, 0.0329335518181324]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.2916297526542522, 5.381843634117089, 2.3790817373563535, -1.5479759590243884, 0.7643752352126985, 0.23264006209366314]",0.002,7,1
0,-1,"[-0.008922402058736623, -1.5796481571593226, -0.00885048694908619, -0.00900323808703618, -0.008956734334127248, -0.008887116109029591]","[0.049306318163871765, 0.050098828971385956, 0.05016685277223587, 0.04961976408958435, 0.04844346269965172, 0.04910430312156677]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.292690720030119, 5.3245187391898465, 2.3524886261538898, -1.5476374373139925, 0.7642498214708253, 0.23265116637769162]",0.002,7,1
0,-1,"[-0.007962528859273732, -1.5787817440428675, -0.007931056432425976, -0.008038238888122606, -0.007912937794820607, -0.007950607930318654]","[0.06364034116268158, 0.063634492456913, 0.06402069330215454, 0.06790142506361008, 0.0663590207695961, 0.0641990602016449]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.2941138292942682, 5.2590437088922695, 2.3218408083071176, -1.5471394024535166, 0.7640671649282201, 0.23266605846648972]",0.002,7,1
0,-1,"[-0.006698910390035451, -1.5776039562621058, -0.0067204623483121395, -0.0068828624537964345, -0.006734673176900685, -0.006748501454488576]","[0.08290339261293411, 0.07888612896203995, 0.07954509556293488, 0.08719398826360703, 0.08370769023895264, 0.08002419024705887]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.296113177381121, 5.162378704208381, 2.2761535978775873, -1.546524091632698, 0.7638377633236939, 0.23268547550095778]",0.002,7,1
0,-1,"[-0.005263153706685841, -1.5761038265623988, -0.005303020589053631, -0.005376533871032763, -0.0052407423602502945, -0.005181137715474904]","[0.09664066880941391, 0.09424272924661636, 0.10119129717350006, 0.10189974308013916, 0.09833216667175293, 0.10007898509502411]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.2986705861082495, 5.04749714598316, 2.2228165364099675, -1.5457669700685734, 0.763551108425217, 0.2327085964522377]",0.002,7,1
0,-1,"[-0.004477326069967091, -1.5753780804076136, -0.004569110926240683, -0.00452931345019536, -0.00442678133119756, -0.004390541707174123]","[0.09895017743110657, 0.05811936408281326, 0.08093993365764618, 0.09587206691503525, 0.09395687282085419, 0.09384983032941818]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-1.2885337691198857, -7.914726887236114, -5.502247513008241, -2.100596792209367, 0.3566093004375501, -0.2326131630627423]",0.002,7,1
0,-1,"[-0.0033343474017542007, -1.5741855106749476, -0.003363428171724081, -0.003330544834472704, -0.0031345526324670914, -0.003171745930806935]","[0.07692722231149673, 0.09786676615476608, 0.08829491585493088, 0.08107306808233261, 0.07916225492954254, 0.07860149443149567]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-1.2904702974435194, -8.004300344059638, -5.545678150430181, -2.1013956586602642, 0.35691711411796323, -0.23263275896262456]",0.002,7,1
0,-1,"[-0.002190415059224904, -1.57293762783193, -0.0020879912190139294, -0.0020942252925415517, -0.002004448567525685, -0.0020249525653284195]","[0.06511060893535614, 0.06829776614904404, 0.06773874908685684, 0.06517760455608368, 0.06409154832363129, 0.06416106969118118]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-1.2925004709856291, -8.103900122893858, -5.592102797029799, -2.102121917469065, 0.3572010120882275, -0.2326512360542364]",0.002,7,1
0,-1,"[-0.001519505177633107, -1.5722104511656703, -0.0014521622797474265, -0.0014861387065430165, -0.001313511525289357, -0.0013378302203577164]","[0.056146830320358276, 0.05428548529744148, 0.054477762430906296, 0.05291371792554855, 0.05229604244232178, 0.05198974907398224]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-1.293744503566952, -8.157056288870807, -5.617884877608075, -2.1025572026620116, 0.3573694332497772, -0.23266241865204018]",0.002,7,1
0,-1,"[-0.000924412404195607, -1.5716883144774378, -0.0008513927459716797, -0.0008528989604492665, -0.0007970968829553726, -0.0007913748370569351]","[0.042150694876909256, 0.04115189611911774, 0.04276935011148453, 0.04404820501804352, 0.03994116932153702, 0.03996311500668526]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-1.2948127678584371, -8.206618505316689, -5.641115381512063, -2.10288810569075, 0.35749959190704816, -0.23267144793492345]",0.002,7,1
