arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.02206776663661003, -1.5487621662071724, 0.022096935902730763, 0.022213740939758253, 0.022164063528180122, 0.022113021463155746]","[-0.03609218820929527, -0.035743873566389084, -0.03597992658615112, -0.033109746873378754, -0.03142800182104111, -0.03141264244914055]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.021397095173597336, -1.5495104764452954, 0.021387402211324513, 0.021550341243408155, 0.02152916043996811, 0.021438181400299072]","[-0.04989328980445862, -0.05192727968096733, -0.049835626035928726, -0.050595723092556, -0.04816005751490593, -0.04652559012174606]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.020346537232398987, -1.5506145165166636, 0.020339314137594044, 0.020522876376769972, 0.020565710961818695, 0.020418792963027954]","[-0.0661902204155922, -0.06804702430963516, -0.06594350188970566, -0.06863634288311005, -0.06535667926073074, -0.06586901843547821]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.01945933699607849, -1.551466343258955, 0.019433323537008107, 0.0196576553532104, 0.019644150510430336, 0.019628535956144333]","[-0.0766148790717125, -0.07938046753406525, -0.07693497836589813, -0.08118618279695511, -0.0787142738699913, -0.0770765170454979]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.01857178658246994, -1.5523479797742148, 0.018597904835836232, 0.0187726455875854, 0.018804261460900307, 0.018700793385505676]","[-0.08857116848230362, -0.08603742718696594, -0.0881938636302948, -0.09167501330375671, -0.09089528769254684, -0.09060898423194885]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.017506040632724762, -1.553451857795455, 0.017442051564351857, 0.01758055269207759, 0.017568621784448624, 0.017471319064497948]","[-0.09978355467319489, -0.09706225246191025, -0.09944099187850952, -0.10186755657196045, -0.10363051295280457, -0.10238625109195709]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.015737520530819893, -1.5551525608501215, 0.015790287648336232, 0.015869064921997023, 0.015844760462641716, 0.015775835141539574]","[-0.11592842638492584, -0.11352914571762085, -0.11593631654977798, -0.1169457882642746, -0.11681758612394333, -0.11662925034761429]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.011113954707980156, -1.5594958190670987, 0.011177841817037404, 0.011170311565063429, 0.011277947574853897, 0.011245431378483772]","[-0.1504942923784256, -0.14618328213691711, -0.1491641402244568, -0.14894072711467743, -0.15147139132022858, -0.15142346918582916]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.009075745940208435, -1.561391899628081, 0.009319607411519826, 0.009182735080383253, 0.009367411024868488, 0.009262335486710072]","[-0.1341572105884552, -0.11828812211751938, -0.13010209798812866, -0.13342410326004028, -0.13624465465545654, -0.13521447777748108]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0071548158302903175, -1.5634796878187736, 0.00721151033510381, 0.007127924556396437, 0.007233856245875359, 0.00721448240801692]","[-0.11606422066688538, -0.126862034201622, -0.12088613957166672, -0.11807406693696976, -0.12134528160095215, -0.12286444008350372]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.005995234474539757, -1.564587964942195, 0.006029907857076466, 0.005939646358154249, 0.006087379530072212, 0.006121031474322081]","[-0.10851474851369858, -0.11263172328472137, -0.11144424974918365, -0.10978062450885773, -0.10810526460409164, -0.1111745536327362]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0045629567466676235, -1.5659816593727847, 0.004592720662252248, 0.004533691997192335, 0.004693412687629461, 0.004689845256507397]","[-0.09977193176746368, -0.0970170721411705, -0.09723406285047531, -0.0944768488407135, -0.09754122048616409, -0.09760750085115433]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.002235654043033719, -1.5683485237280657, 0.0022843519793909195, 0.0022565561481933116, 0.00230522477068007, 0.0023273054976016283]","[-0.07108459621667862, -0.07348163425922394, -0.06976703554391861, -0.06658817827701569, -0.071198470890522, -0.06803110986948013]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
